runs,mode,agent_a,agent_b,test,dimension,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
run_0,fixed_follower,predator_1,predator_0,ccm_1,PCA_3,0.48,0.455,0.484,0.524,0.532,0.536,0.502,0.479,0.497,0.464
run_0,fixed_follower,predator_1,predator_0,ccm_1,x,0.586,0.59,0.62,0.663,0.638,0.614,0.585,0.567,0.59,0.575
run_0,fixed_follower,predator_1,predator_0,ccm_1,y,0.36,0.306,0.153,0.336,0.297,0.314,0.383,0.298,0.288,0.284
run_0,fixed_follower,predator_1,predator_0,ccm_1,dx,0.886,0.867,0.841,0.856,0.854,0.852,0.851,0.843,0.84,0.812
run_0,fixed_follower,predator_1,predator_0,ccm_1,dy,0.437,0.417,0.397,0.383,0.437,0.35,0.3,0.295,0.212,0.411
run_0,fixed_follower,predator_1,predator_0,ccm_2,PCA_1,0.625,0.809,0.739,0.649,0.784,0.773,0.622,0.664,0.653,0.65
run_0,fixed_follower,predator_1,predator_0,ccm_2,PCA_2,0.812,0.852,0.832,0.856,0.851,0.798,0.841,0.84,0.833,0.813
run_0,fixed_follower,predator_1,predator_0,ccm_2,PCA_3,0.873,0.883,0.791,0.891,0.819,0.766,0.775,0.776,0.81,0.794
run_0,fixed_follower,predator_1,predator_0,ccm_2,x,0.671,0.593,0.531,0.512,0.485,0.468,0.499,0.392,0.434,0.475
run_0,fixed_follower,predator_1,predator_0,ccm_2,y,0.514,0.37,0.155,0.424,0.224,0.278,0.308,0.307,0.244,0.214
run_0,fixed_follower,predator_1,predator_0,ccm_2,dx,0.741,0.704,0.661,0.666,0.657,0.663,0.659,0.662,0.661,0.636
run_0,fixed_follower,predator_1,predator_0,ccm_2,dy,0.4,0.348,0.247,0.32,0.281,0.326,0.318,0.291,0.273,0.249
run_0,chaser_fixed,predator_0,predator_1,ccm_1,PCA_1,0.156,0.251,0.245,0.27,0.271,0.261,0.265,0.253,0.243,0.242
run_0,chaser_fixed,predator_0,predator_1,ccm_1,PCA_2,0.336,0.272,0.243,0.256,0.254,0.262,0.257,0.255,0.249,0.253
run_0,chaser_fixed,predator_0,predator_1,ccm_1,PCA_3,0.516,0.38,0.474,0.454,0.44,0.388,0.352,0.339,0.334,0.307
run_0,chaser_fixed,predator_0,predator_1,ccm_1,x,0.301,0.285,0.199,0.138,0.12,0.113,0.107,0.1,0.068,0.097
run_0,chaser_fixed,predator_0,predator_1,ccm_1,y,0.337,0.146,0.146,0.23,0.033,0.107,0.183,0.065,0.136,0.098
run_0,chaser_fixed,predator_0,predator_1,ccm_1,dx,0.203,0.164,0.091,0.062,0.06,0.053,0.021,0.028,0.049,0.025
run_0,chaser_fixed,predator_0,predator_1,ccm_1,dy,0.121,0.037,0.061,0.017,0.024,0.033,0.011,0.019,0.027,0.04
run_0,chaser_fixed,predator_0,predator_1,ccm_2,PCA_1,0.54,0.612,0.611,0.625,0.589,0.602,0.606,0.59,0.574,0.583
run_0,chaser_fixed,predator_0,predator_1,ccm_2,PCA_2,0.604,0.633,0.64,0.646,0.64,0.651,0.64,0.641,0.64,0.653
run_0,chaser_fixed,predator_0,predator_1,ccm_2,PCA_3,0.867,0.845,0.864,0.816,0.819,0.83,0.785,0.781,0.795,0.795
run_0,chaser_fixed,predator_0,predator_1,ccm_2,x,0.234,0.253,0.166,0.173,0.136,0.117,0.082,0.084,0.095,0.078
run_0,chaser_fixed,predator_0,predator_1,ccm_2,y,0.475,0.116,0.189,0.23,0.176,0.121,0.137,0.156,0.181,0.153
run_0,chaser_fixed,predator_0,predator_1,ccm_2,dx,0.219,0.097,0.041,0.028,0.028,0.045,0.04,0.027,0.005,-0.001
run_0,chaser_fixed,predator_0,predator_1,ccm_2,dy,0.049,0.029,0.013,0.041,0.046,0.036,0.037,0.03,0.043,0.038
run_0,chaser_fixed,predator_1,predator_0,ccm_1,PCA_1,0.137,0.127,0.161,0.196,0.193,0.204,0.199,0.211,0.206,0.202
run_0,chaser_fixed,predator_1,predator_0,ccm_1,PCA_2,0.179,0.141,0.146,0.158,0.149,0.131,0.156,0.16,0.147,0.139
run_0,chaser_fixed,predator_1,predator_0,ccm_1,PCA_3,0.431,0.416,0.393,0.32,0.292,0.26,0.248,0.234,0.223,0.205
run_0,chaser_fixed,predator_1,predator_0,ccm_1,x,0.371,0.338,0.257,0.227,0.17,0.162,0.165,0.147,0.129,0.098
run_0,chaser_fixed,predator_1,predator_0,ccm_1,y,0.393,0.352,0.331,0.23,0.221,0.211,0.162,0.183,0.162,0.134
run_0,chaser_fixed,predator_1,predator_0,ccm_1,dx,0.191,0.164,0.106,0.1,0.042,0.076,0.054,0.032,0.024,0.02
run_0,chaser_fixed,predator_1,predator_0,ccm_1,dy,0.262,0.169,0.129,0.065,0.083,0.076,0.054,0.062,0.035,0.031
run_0,chaser_fixed,predator_1,predator_0,ccm_2,PCA_1,0.651,0.702,0.714,0.711,0.706,0.703,0.694,0.688,0.698,0.691
run_0,chaser_fixed,predator_1,predator_0,ccm_2,PCA_2,0.714,0.7,0.72,0.721,0.721,0.726,0.729,0.728,0.723,0.719
run_0,chaser_fixed,predator_1,predator_0,ccm_2,PCA_3,0.881,0.836,0.871,0.807,0.808,0.791,0.81,0.825,0.835,0.832
run_0,chaser_fixed,predator_1,predator_0,ccm_2,x,0.541,0.426,0.397,0.326,0.242,0.229,0.232,0.205,0.221,0.222
run_0,chaser_fixed,predator_1,predator_0,ccm_2,y,0.52,0.329,0.31,0.195,0.231,0.236,0.226,0.239,0.155,0.14
run_0,chaser_fixed,predator_1,predator_0,ccm_2,dx,0.246,0.123,0.078,0.057,0.047,0.033,0.032,0.011,0.009,0.015
run_0,chaser_fixed,predator_1,predator_0,ccm_2,dy,0.128,0.133,0.076,0.064,0.039,0.033,0.01,0.005,0.012,0.003
run_1,chaser_follower,predator_0,predator_1,ccm_1,PCA_1,0.223,0.271,0.293,0.308,0.3,0.282,0.268,0.261,0.247,0.249
run_1,chaser_follower,predator_0,predator_1,ccm_1,PCA_2,0.231,0.252,0.271,0.253,0.252,0.221,0.204,0.206,0.218,0.228
run_1,chaser_follower,predator_0,predator_1,ccm_1,PCA_3,0.788,0.403,0.528,0.565,0.52,0.504,0.532,0.553,0.52,0.555
run_1,chaser_follower,predator_0,predator_1,ccm_1,x,0.876,0.805,0.821,0.79,0.788,0.744,0.695,0.772,0.749,0.811
run_1,chaser_follower,predator_0,predator_1,ccm_1,y,0.702,0.725,0.768,0.686,0.724,0.566,0.602,0.572,0.576,0.541
run_1,chaser_follower,predator_0,predator_1,ccm_1,dx,0.438,0.336,0.331,0.242,0.238,0.213,0.248,0.179,0.227,0.149
run_1,chaser_follower,predator_0,predator_1,ccm_1,dy,0.272,0.307,0.287,0.255,0.187,0.185,0.138,0.166,0.167,0.172
run_1,chaser_follower,predator_0,predator_1,ccm_2,PCA_1,0.729,0.724,0.782,0.72,0.72,0.729,0.747,0.732,0.747,0.764
run_1,chaser_follower,predator_0,predator_1,ccm_2,PCA_2,0.839,0.76,0.794,0.806,0.796,0.763,0.784,0.768,0.769,0.788
run_1,chaser_follower,predator_0,predator_1,ccm_2,PCA_3,0.962,0.848,0.932,0.912,0.892,0.849,0.913,0.923,0.88,0.9
run_1,chaser_follower,predator_0,predator_1,ccm_2,x,0.902,0.81,0.822,0.839,0.786,0.74,0.781,0.784,0.814,0.823
run_1,chaser_follower,predator_0,predator_1,ccm_2,y,0.63,0.785,0.754,0.778,0.705,0.544,0.545,0.538,0.544,0.571
run_1,chaser_follower,predator_0,predator_1,ccm_2,dx,0.61,0.646,0.627,0.606,0.569,0.521,0.528,0.528,0.533,0.536
