mode,agent_a,agent_b,test,dimension,500,1000,1500,2000,2500,3000,3500,4000,4500,5000
chaser_fixed,predator_0,predator_1,ccm_1,PCA_1,0.24559999999999998,0.2692,0.2669,0.27149999999999996,0.2694,0.2624,0.2671,0.26070000000000004,0.2597,0.2595
chaser_fixed,predator_0,predator_1,ccm_1,PCA_2,0.2883,0.26480000000000004,0.2631,0.2667,0.2626,0.2591,0.2575,0.2578,0.2557,0.253
chaser_fixed,predator_0,predator_1,ccm_1,PCA_3,0.3222,0.2979,0.3033,0.3053,0.3137,0.3099,0.3014,0.2967,0.30419999999999997,0.3052
chaser_fixed,predator_0,predator_1,ccm_1,dx,0.242,0.1474,0.1091,0.0872,0.0707,0.0635,0.045,0.0407,0.0358,0.032
chaser_fixed,predator_0,predator_1,ccm_1,dy,0.1147,0.0756,0.06839999999999999,0.056100000000000004,0.042499999999999996,0.0419,0.0317,0.0261,0.033800000000000004,0.036
chaser_fixed,predator_0,predator_1,ccm_1,x,0.3509,0.26880000000000004,0.2063,0.1678,0.1291,0.10600000000000001,0.08030000000000001,0.0769,0.06720000000000001,0.0645
chaser_fixed,predator_0,predator_1,ccm_1,y,0.3171,0.1683,0.1714,0.17850000000000002,0.11910000000000001,0.1177,0.11579999999999999,0.0872,0.1136,0.077
chaser_fixed,predator_0,predator_1,ccm_2,PCA_1,0.5922,0.6099,0.6104999999999999,0.6041000000000001,0.5963,0.5949,0.5927,0.5881000000000001,0.5843999999999999,0.5864
chaser_fixed,predator_0,predator_1,ccm_2,PCA_2,0.643,0.6426999999999999,0.6484,0.6441,0.6436,0.6438,0.6414,0.6416999999999999,0.646,0.6446
chaser_fixed,predator_0,predator_1,ccm_2,PCA_3,0.8007,0.7918999999999999,0.8055,0.8008,0.8141999999999999,0.8055,0.7955,0.8041,0.8134,0.8036
chaser_fixed,predator_0,predator_1,ccm_2,dx,0.2307,0.1189,0.0583,0.0456,0.0267,0.022,0.0124,0.0097,0.011300000000000001,0.0007000000000000001
chaser_fixed,predator_0,predator_1,ccm_2,dy,0.1216,0.0754,0.0448,0.045200000000000004,0.0346,0.0314,0.0318,0.0289,0.0264,0.0201
chaser_fixed,predator_0,predator_1,ccm_2,x,0.3388,0.2535,0.18680000000000002,0.1568,0.11810000000000001,0.09659999999999999,0.08380000000000001,0.0706,0.06770000000000001,0.0617
chaser_fixed,predator_0,predator_1,ccm_2,y,0.2784,0.1921,0.1674,0.1534,0.1342,0.12,0.0999,0.098,0.10640000000000001,0.08979999999999999
chaser_fixed,predator_1,predator_0,ccm_1,PCA_1,0.1527,0.159,0.16570000000000001,0.1721,0.17070000000000002,0.17099999999999999,0.1714,0.17270000000000002,0.1729,0.17270000000000002
