"episodes_total","training.model.use_lstm: true - _step","training.model.use_lstm: true - _step__MIN","training.model.use_lstm: true - _step__MAX","training.model.use_lstm: true - episode_len_mean","training.model.use_lstm: true - episode_len_mean__MIN","training.model.use_lstm: true - episode_len_mean__MAX"
"5724","56","56","56","79.31","79.31","79.31"
"5725","52","52","52","71.09","71.09","71.09"
"5731","53","53","53","74.37","74.37","74.37"
"5733","54","54","54","83.56","83.56","83.56"
"5740","56","56","56","76.31","76.31","76.31"
"5766","52","52","52","56.22","56.22","56.22"
"5776","53","53","53","64.49","64.49","64.49"
"5782","56","56","56","76.16","76.16","76.16"
"5786","54","54","54","60.47","60.47","60.47"
"5792","52","52","52","78.53","78.53","78.53"
"5799","52","52","52","61.32","61.32","61.32"
"5802","53","53","53","65.71","65.71","65.71"
"5808","53.5","53","54","68.89","68.39","69.39"
"5824","54","54","54","70.55","70.55","70.55"
"5832","53","53","53","81.08","81.08","81.08"
"5836","57","57","57","75.94","75.94","75.94"
"5845","53","53","53","71.86","71.86","71.86"
"5851","55","55","55","70.9","70.9","70.9"
"5853","57","57","57","69.79","69.79","69.79"
"5854","54","54","54","69.21","69.21","69.21"
"5889","53","53","53","63.99","63.99","63.99"
"5893","57","57","57","77.77","77.77","77.77"
"5899","54","54","54","61.91","61.91","61.91"
"5902","53","53","53","75.67","75.67","75.67"
"5923","55","55","55","61.61","61.61","61.61"
"5929","54","54","54","65.53","65.53","65.53"
"5932","54","54","54","65.05","65.05","65.05"
"5934","55","55","55","64.4","64.4","64.4"
"5935","55","55","55","79.51","79.51","79.51"
"5939","53","53","53","58.16","58.16","58.16"
"5947","58","58","58","79.42","79.42","79.42"
"5958","54","54","54","60.77","60.77","60.77"
"5970","54","54","54","65.32","65.32","65.32"
"5971","56","56","56","66.2","66.2","66.2"
"5975","56.5","55","58","68.005","67.37","68.64"
"6006","58","58","58","74.62","74.62","74.62"
"6009","54","54","54","71.33","71.33","71.33"
"6020","54","54","54","71.98","71.98","71.98"
"6030","55","55","55","61.33","61.33","61.33"
"6046","56","56","56","79.72","79.72","79.72"
"6050","55","55","55","69.76","69.76","69.76"
"6052","56","56","56","67.02","67.02","67.02"
"6054","59","59","59","86.52","86.52","86.52"
"6060","56","56","56","68.55","68.55","68.55"
"6064","55","55","55","57.65","57.65","57.65"
"6071","54","54","54","65.21","65.21","65.21"
"6085","57","57","57","75.66","75.66","75.66"
"6091","59","59","59","74.77","74.77","74.77"
"6094","55","55","55","65.36","65.36","65.36"
"6102","55","55","55","55.38","55.38","55.38"
"6107","59","59","59","89.77","89.77","89.77"
"6109","56","56","56","66.08","66.08","66.08"
"6125","55","55","55","73.35","73.35","73.35"
"6149","55","55","55","63.88","63.88","63.88"
"6161","60","60","60","88.98","88.98","88.98"
"6162","56","56","56","62.16","62.16","62.16"
"6163","57","57","57","72.8","72.8","72.8"
"6169","57","57","57","74.35","74.35","74.35"
"6173","56","56","56","69.43","69.43","69.43"
"6182","56","56","56","68.67","68.67","68.67"
"6185","57","57","57","63.32","63.32","63.32"
"6190","58","58","58","85.06","85.06","85.06"
"6204","55","55","55","56.53","56.53","56.53"
"6210","60","60","60","66.06","66.06","66.06"
"6214","60","60","60","80.38","80.38","80.38"
"6221","56","56","56","62.48","62.48","62.48"
"6223","57","57","57","72.32","72.32","72.32"
"6240","56","56","56","57.18","57.18","57.18"
"6250","56","56","56","62.95","62.95","62.95"
"6271","61","61","61","74.44","74.44","74.44"
"6274","58","58","58","74.78","74.78","74.78"
"6276","56","56","56","62.91","62.91","62.91"
"6290","57","57","57","62.39","62.39","62.39"
"6293","59","59","59","91.45","91.45","91.45"
"6296","58","58","58","64.94","64.94","64.94"
"6298","57","57","57","70.74","70.74","70.74"
"6303","57","57","57","62.92","62.92","62.92"
"6310","58","58","58","64.58","64.58","64.58"
"6331","61","61","61","72.01","72.01","72.01"
"6332","61","61","61","66.38","66.38","66.38"
"6339","57","56","58","67.445","59.06","75.83"
"6359","57","57","57","58.25","58.25","58.25"
"6374","57","57","57","59.9","59.9","59.9"
"6380","57","57","57","61.67","61.67","61.67"
"6387","62","62","62","67.34","67.34","67.34"
"6391","59","59","59","71.24","71.24","71.24"
"6398","60","60","60","87.78","87.78","87.78"
"6407","57","57","57","62.58","62.58","62.58"
"6411","58","58","58","68.06","68.06","68.06"
"6415","58","58","58","71.6","71.6","71.6"
"6428","59","59","59","64.02","64.02","64.02"
"6430","58","58","58","60.92","60.92","60.92"
"6443","59","59","59","62.9","62.9","62.9"
"6444","62","62","62","72.19","71.11","73.27"
"6460","59","59","59","66.32","66.32","66.32"
"6474","57","57","57","59.26","59.26","59.26"
"6482","58","58","58","66.09","66.09","66.09"
"6501","61","61","61","88.35","88.35","88.35"
"6504","58","58","58","61.66","61.66","61.66"
"6513","63","63","63","65.98","65.98","65.98"
"6518","59","59","59","77.52","77.52","77.52"
"6522","58","58","58","55.94","55.94","55.94"
"6524","60","60","60","62.55","62.55","62.55"
"6543","59","58","60","66.315","57.34","75.29"
"6546","59","59","59","60.49","60.49","60.49"
"6553","59","59","59","66.67","66.67","66.67"
"6560","63","63","63","71.36","71.36","71.36"
"6566","60","60","60","67.36","67.36","67.36"
"6568","63","63","63","68.16","68.16","68.16"
"6589","60","60","60","67.24","67.24","67.24"
"6593","58","58","58","67.06","67.06","67.06"
"6608","59","59","59","86.75","86.75","86.75"
"6609","59","59","59","66.5","66.5","66.5"
"6618","62","62","62","69.67","69.67","69.67"
"6629","64","64","64","70.08","70.08","70.08"
"6636","60","60","60","74.22","74.22","74.22"
"6658","61","61","61","60.37","60.37","60.37"
"6664","59","59","59","55.46","55.46","55.46"
"6673","61","61","61","60","60","60"
"6676","60","60","60","58.32","58.32","58.32"
"6679","62","60","64","67.035","66.22","67.85"
"6684","59","59","59","55.31","55.31","55.31"
"6685","61","61","61","68.05","68.05","68.05"
"6697","64","64","64","64.95","64.95","64.95"
"6708","61","61","61","70.89","70.89","70.89"
"6713","59","59","59","65.07","65.07","65.07"
"6725","60","60","60","71.02","71.02","71.02"
"6735","63","63","63","74.16","74.16","74.16"
"6739","60","60","60","62.26","62.26","62.26"
"6745","65","65","65","74","74","74"
"6757","61","61","61","64.13","64.13","64.13"
"6799","62","62","62","55.44","55.44","55.44"
"6803","62","62","62","63.95","63.95","63.95"
"6804","65","65","65","65.3","65.3","65.3"
"6805","61","61","61","63.2","63.2","63.2"
"6807","60.5","60","61","61.84","58.2","65.48"
"6817","60","60","60","58.39","58.39","58.39"
"6821","65","65","65","67.92","67.92","67.92"
"6822","62","62","62","59.09","59.09","59.09"
"6824","62","62","62","75.2","75.2","75.2"
"6848","60","60","60","57.88","57.88","57.88"
"6850","64","64","64","70.88","70.88","70.88"
"6857","61","61","61","62.36","62.36","62.36"
"6858","66","66","66","72.42","72.42","72.42"
"6866","62","62","62","76.13","76.13","76.13"
"6867","61","61","61","66.18","66.18","66.18"
"6912","66","66","66","78.03","78.03","78.03"
"6922","63","63","63","72.22","72.22","72.22"
"6925","61","61","61","71.97","71.97","71.97"
"6938","62","62","62","61.88","61.88","61.88"
"6939","63","63","63","57.21","57.21","57.21"
"6941","62","62","62","60.72","60.72","60.72"
"6942","63","63","63","70.57","70.57","70.57"
"6948","66","66","66","63.67","63.67","63.67"
"6960","61","61","61","57.44","57.44","57.44"
"6965","63","63","63","60.68","60.68","60.68"
"6971","67","67","67","76.73","76.73","76.73"
"6972","61","61","61","64.36","64.36","64.36"
"6973","65","65","65","70.03","70.03","70.03"
"6981","62","62","62","66.23","66.23","66.23"
"6986","63","63","63","69.36","69.36","69.36"
"6995","62","62","62","66.53","66.53","66.53"
"7017","67","67","67","79.41","79.41","79.41"
"7033","62","62","62","78.04","78.04","78.04"
"7054","64","64","64","59.06","59.06","59.06"
"7055","64","64","64","71.65","71.65","71.65"
"7073","63","63","63","58.34","58.34","58.34"
"7074","63","63","63","56.82","56.82","56.82"
"7079","68","68","68","79.47","79.47","79.47"
"7081","64","64","64","57.47","57.47","57.47"
"7083","66","66","66","79.84","79.84","79.84"
"7084","67","67","67","61.01","61.01","61.01"
"7092","64","64","64","66.98","66.98","66.98"
"7093","62","62","62","59.56","59.56","59.56"
"7099","62","62","62","65.37","65.37","65.37"
"7110","64","64","64","64.21","64.21","64.21"
"7116","63","63","63","67.27","67.27","67.27"
"7118","63","63","63","58.04","58.04","58.04"
"7134","68","68","68","70.95","70.95","70.95"
"7145","63","63","63","75.95","75.95","75.95"
"7181","65","65","65","67.57","67.57","67.57"
"7189","65","65","65","57.85","57.85","57.85"
"7191","69","69","69","78.18","78.18","78.18"
"7202","67","67","67","72.18","72.18","72.18"
"7209","64","64","64","59.6","59.6","59.6"
"7211","64","64","64","60.87","60.87","60.87"
"7212","68","68","68","64.59","64.59","64.59"
"7214","65","65","65","57.55","57.55","57.55"
"7215","65","65","65","63.41","63.41","63.41"
"7224","63","63","63","61.95","61.95","61.95"
"7226","63","63","63","66.96","66.96","66.96"
"7228","65","65","65","67.83","67.83","67.83"
"7232","64","64","64","71.17","71.17","71.17"
"7243","64","64","64","61.27","61.27","61.27"
"7257","69","69","69","65.95","65.95","65.95"
"7262","64","64","64","70.46","70.46","70.46"
"7301","70","70","70","79.17","79.17","79.17"
"7312","66","66","66","66.3","66.3","66.3"
"7313","66","66","66","65.2","65.2","65.2"
"7320","65","65","65","76.86","76.86","76.86"
"7327","68","68","68","63.07","63.07","63.07"
"7336","69","69","69","64.54","64.54","64.54"
"7342","65","65","65","58.76","58.76","58.76"
"7344","66","66","66","63.76","63.76","63.76"
"7347","66","66","66","60.74","60.74","60.74"
"7355","66","66","66","63.31","63.31","63.31"
"7357","64.5","64","65","63.78","58.83","68.73"
"7365","64","64","64","58.3","58.3","58.3"
"7367","65","65","65","68.88","68.88","68.88"
"7375","70","70","70","69.47","69.47","69.47"
"7387","65","65","65","64","64","64"
"7415","71","71","71","72.8","72.8","72.8"
"7432","66","66","66","73.42","73.42","73.42"
"7436","67","67","67","66.91499999999999","65.7","68.13"
"7454","69","69","69","63.09","63.09","63.09"
"7459","70","70","70","67.84","67.84","67.84"
"7464","67","67","67","78.82","78.82","78.82"
"7472","67","67","67","60.42","60.42","60.42"
"7477","66","66","66","63.49","63.49","63.49"
"7480","67","67","67","61.29","61.29","61.29"
"7482","66","66","66","66.45","66.45","66.45"
"7491","65","65","65","61.43","61.43","61.43"
"7492","66","66","66","63.75","63.75","63.75"
"7495","71","71","71","65.36","65.36","65.36"
"7498","65","65","65","56.84","56.84","56.84"
"7522","66","66","66","64.46","64.46","64.46"
"7531","72","72","72","71.44","71.44","71.44"
"7539","67","67","67","82.02","82.02","82.02"
"7563","68","68","68","62.68","62.68","62.68"
"7566","70","70","70","73.96","73.96","73.96"
"7568","68","68","68","61.86","61.86","61.86"
"7582","68","68","68","70.21","70.21","70.21"
"7584","71","71","71","63.48","63.48","63.48"
"7607","67","67","67","62.83","62.83","62.83"
"7610","72","72","72","74.76","74.76","74.76"
"7612","67","67","67","59.4","59.4","59.4"
"7616","68","68","68","53.44","53.44","53.44"
"7618","67","66","68","62.565","55.48","69.65"
"7625","67","67","67","59.04","59.04","59.04"
"7628","66","66","66","58.01","58.01","58.01"
"7651","67","67","67","62.22","62.22","62.22"
"7656","73","73","73","63.95","63.95","63.95"
"7662","68","68","68","64.06","64.06","64.06"
"7687","71","71","71","74.78","74.78","74.78"
"7698","69","69","69","58.29","58.29","58.29"
"7707","69","69","69","57.16","57.16","57.16"
"7708","70.5","69","72","64.505","63.1","65.91"
"7730","73","73","73","67.03","67.03","67.03"
"7740","68","68","68","63.24","63.24","63.24"
"7744","67","67","67","64.43","64.43","64.43"
"7745","68.5","68","69","59.425","56","62.85"
"7754","67","67","67","60.8","60.8","60.8"
"7759","69","69","69","53.51","53.51","53.51"
"7762","68","68","68","59.18","59.18","59.18"
"7775","69","69","69","73.9","73.9","73.9"
"7781","74","74","74","69.47","69.47","69.47"
"7782","68","68","68","63.93","63.93","63.93"
"7795","72","72","72","78.62","78.62","78.62"
"7825","70","70","70","66.1","66.1","66.1"
"7826","70","70","70","68.5","68.5","68.5"
"7834","70","70","70","59.02","59.02","59.02"
"7836","73","73","73","62.11","62.11","62.11"
"7848","74","74","74","71.65","71.65","71.65"
"7862","69","69","69","66.51","66.51","66.51"
"7874","70","70","70","60.84","60.84","60.84"
"7881","68","68","68","58.64","58.64","58.64"
"7887","68","68","68","61.27","61.27","61.27"
"7888","69","69","69","55.94","55.94","55.94"
"7897","69.5","69","70","65.145","62.83","67.46"
"7899","70","70","70","57.63","57.63","57.63"
"7901","75","75","75","70.45","70.45","70.45"
"7908","73","73","73","75.21","75.21","75.21"
"7918","69","69","69","60.36","60.36","60.36"
"7940","71","71","71","74.88","74.88","74.88"
"7962","75","75","75","69.42","69.42","69.42"
"7966","74","74","74","65.56","65.56","65.56"
"7969","71","71","71","55.46","55.46","55.46"
"7973","71","71","71","57.9","57.9","57.9"
"7996","70","70","70","58.37","58.37","58.37"
"7999","71","71","71","66.36","66.36","66.36"
"8009","69","69","69","67.53","67.53","67.53"
"8017","69","69","69","58.06","58.06","58.06"
"8023","74","74","74","74.38","74.38","74.38"
"8024","76","76","76","69.15","69.15","69.15"
"8026","70","70","70","59.94","59.94","59.94"
"8035","71","71","71","57.08","57.08","57.08"
"8037","71","71","71","58.19","58.19","58.19"
"8045","70","70","70","51.44","51.44","51.44"
"8046","70","70","70","62.4","62.4","62.4"
"8050","72","72","72","77.45","77.45","77.45"
"8084","76","76","76","68.78","68.78","68.78"
"8088","75","75","75","64.97","64.97","64.97"
"8097","72","72","72","66.2","66.2","66.2"
"8098","72","72","72","63.32","63.32","63.32"
"8115","71","71","71","69.72","69.72","69.72"
"8132","72","72","72","59.61","59.61","59.61"
"8137","70","70","70","64.28","64.28","64.28"
"8138","75","75","75","72.82","72.82","72.82"
"8151","77","77","77","61.54","61.54","61.54"
"8153","70","70","70","58.3","58.3","58.3"
"8154","73","73","73","86.3","86.3","86.3"
"8165","71","71","71","59.97","59.97","59.97"
"8168","72","72","72","58.75","58.75","58.75"
"8177","72","72","72","56.26","56.26","56.26"
"8179","71","71","71","58.37","58.37","58.37"
"8183","71","71","71","57.2","57.2","57.2"
"8198","77","77","77","76.73","76.73","76.73"
"8219","76","76","76","64.99","64.99","64.99"
"8229","73","73","73","60.15","60.15","60.15"
"8232","73","73","73","61.94","61.94","61.94"
"8244","72","72","72","63.56","63.56","63.56"
"8245","76","76","76","83.05","83.05","83.05"
"8256","73","73","73","69.55","69.55","69.55"
"8259","74","74","74","84.06","84.06","84.06"
"8270","71","71","71","60.54","60.54","60.54"
"8279","71","71","71","64.52","64.52","64.52"
"8286","78","78","78","63.86","63.86","63.86"
"8300","72","72","72","59.17","59.17","59.17"
"8309","73","73","73","56.03","56.03","56.03"
"8313","78","78","78","73.01","73.01","73.01"
"8314","73","73","73","59.68","59.68","59.68"
"8318","72","72","72","57.04","57.04","57.04"
"8326","72","72","72","53.8","53.8","53.8"
"8341","77","77","77","66.01","66.01","66.01"
"8361","74","74","74","62.44","62.44","62.44"
"8362","75","75","75","84.41","84.41","84.41"
"8363","77","77","77","73.31","73.31","73.31"
"8373","74","74","74","58.62","58.62","58.62"
"8380","73","73","73","60.37","60.37","60.37"
"8389","74","74","74","58.95","58.95","58.95"
"8395","72","72","72","64.04","64.04","64.04"
"8407","72","72","72","62.57","62.57","62.57"
"8408","79","79","79","70.63","70.63","70.63"
"8437","79","79","79","66.56","66.56","66.56"
"8446","73","73","73","62.68","62.68","62.68"
"8449","73","73","73","55.01","55.01","55.01"
"8454","74","74","74","55.31","55.31","55.31"
"8458","73","73","73","59.6","59.6","59.6"
"8459","74","74","74","57.16","57.16","57.16"
"8472","77","76","78","66.36","57.88","74.84"
"8476","78","78","78","74.6","74.6","74.6"
"8499","75","75","75","60.04","60.04","60.04"
"8504","74","74","74","67.3","67.3","67.3"
"8518","75","75","75","54.94","54.94","54.94"
"8519","80","80","80","77.07","77.07","77.07"
"8522","73","73","73","69.49","69.49","69.49"
"8527","75","75","75","58.5","58.5","58.5"
"8533","73","73","73","63.04","63.04","63.04"
"8558","80","80","80","70.42","70.42","70.42"
"8583","74","74","74","59.27","59.27","59.27"
"8584","77","77","77","78.37","78.37","78.37"
"8587","79","79","79","77.03","77.03","77.03"
"8590","74","74","74","60.065","59.44","60.69"
"8592","77","75","79","62.2","54.78","69.62"
"8600","75","75","75","61.01","61.01","61.01"
"8625","81","81","81","80.24","80.24","80.24"
"8631","74","74","74","78.39","78.39","78.39"
"8633","76","76","76","59.69","59.69","59.69"
"8634","75","75","75","61.94","61.94","61.94"
"8640","76","76","76","65.51","65.51","65.51"
"8658","76","76","76","59.4","59.4","59.4"
"8667","74","74","74","60.93","60.93","60.93"
"8684","81","81","81","64.37","64.37","64.37"
"8700","80","80","80","75.25","75.25","75.25"
"8701","78","78","78","68.97","68.97","68.97"
"8712","75","75","75","63.93","63.93","63.93"
"8723","80","80","80","63.26","63.26","63.26"
"8725","75","75","75","62.14","62.14","62.14"
"8726","75","75","75","58.24","58.24","58.24"
"8730","76","76","76","60.19","60.19","60.19"
"8738","76","76","76","51.8","51.8","51.8"
"8740","82","82","82","75.61","75.61","75.61"
"8744","75","75","75","78.1","78.1","78.1"
"8752","76","76","76","71.01","71.01","71.01"
"8767","77","77","77","63.6","63.6","63.6"
"8774","77","77","77","59.12","59.12","59.12"
"8792","77","77","77","58.04","58.04","58.04"
"8804","75","75","75","58.1","58.1","58.1"
"8807","82","82","82","66.02","66.02","66.02"
"8819","81","81","81","74.15","74.15","74.15"
"8825","79","79","79","68.74","68.74","68.74"
"8844","78.5","76","81","61.795","60.21","63.38"
"8850","76","76","76","81.31","81.31","81.31"
"8852","83","83","83","74.24","74.24","74.24"
"8859","76","76","76","58.42","58.42","58.42"
"8861","76","76","76","57.23","57.23","57.23"
"8865","77","77","77","74.24","74.24","74.24"
"8868","77","77","77","60.66","60.66","60.66"
"8885","77","77","77","54.38","54.38","54.38"
"8901","78","78","78","62.92","62.92","62.92"
"8910","78","78","78","60.29","60.29","60.29"
"8932","78","78","78","57.54","57.54","57.54"
"8934","82","82","82","73.97","73.97","73.97"
"8936","76","76","76","61.7","61.7","61.7"
"8938","80","80","80","73.43","73.43","73.43"
"8946","83","83","83","56.96","56.96","56.96"
"8964","82","82","82","69.2","69.2","69.2"
"8969","84","84","84","69.99","69.99","69.99"
"8971","77","77","77","63.12","63.12","63.12"
"8972","77","77","77","63.77","63.77","63.77"
"8987","78","78","78","73.63","73.63","73.63"
"8998","78","78","78","61.18","61.18","61.18"
"8999","77","77","77","59.31","59.31","59.31"
"9004","77","77","77","56.89","56.89","56.89"
"9008","78","78","78","73.17","73.17","73.17"
"9032","79","79","79","61.24","61.24","61.24"
"9047","83","83","83","76.43","76.43","76.43"
"9048","79","79","79","58.52","58.52","58.52"
"9065","81","81","81","68.51","68.51","68.51"
"9067","79","79","79","58.99","58.99","58.99"
"9078","77","77","77","53.64","53.64","53.64"
"9083","84.5","84","85","66.095","61.17","71.02"
"9089","83","83","83","66.42","66.42","66.42"
"9105","78","78","78","61.96","61.96","61.96"
"9110","78.5","78","79","61.905","58.55","65.26"
"9133","78","78","78","62.44","62.44","62.44"
"9136","79","79","79","64.07","64.07","64.07"
"9142","79","79","79","54.31","54.31","54.31"
"9156","78","78","78","51.8","51.8","51.8"
"9160","84","84","84","80.93","80.93","80.93"
"9166","80","80","80","61.56","61.56","61.56"
"9168","80","80","80","68.58","68.58","68.58"
"9189","82","82","82","65.01","65.01","65.01"
"9197","86","86","86","75.01","75.01","75.01"
"9200","82","80","84","70.63","62.29","78.97"
"9210","78","78","78","63.22","63.22","63.22"
"9216","85","85","85","59.43","59.43","59.43"
"9233","80","80","80","67.11","67.11","67.11"
"9235","79","79","79","60.71","60.71","60.71"
"9247","79","79","79","57.77","57.77","57.77"
"9270","85","85","85","74.25","74.25","74.25"
"9272","80","80","80","60.61","60.61","60.61"
"9274","79","79","79","54","54","54"
"9285","80","80","80","57.89","57.89","57.89"
"9299","79","79","79","55.49","55.49","55.49"
"9300","81","81","81","61.17","61.17","61.17"
"9305","81","81","81","53.39","53.39","53.39"
"9317","87","87","87","68.56","68.56","68.56"
"9330","83","83","83","55.98","55.98","55.98"
"9332","85","85","85","62.63","62.63","62.63"
"9337","81","81","81","58.76","58.76","58.76"
"9340","82.5","79","86","63.235","62.58","63.89"
"9349","81","81","81","70.96","70.96","70.96"
"9361","80","80","80","65.31","65.31","65.31"
"9373","86","86","86","84.96","84.96","84.96"
"9374","81","81","81","82.13","82.13","82.13"
"9376","80","80","80","62.19","62.19","62.19"
"9416","80.5","80","81","60.18","57.47","62.89"
"9432","80","80","80","64.46","64.46","64.46"
"9437","88","88","88","67.49","67.49","67.49"
"9441","82","82","82","56.87","56.87","56.87"
"9445","82","82","82","53.8","53.8","53.8"
"9458","86","86","86","64.16","64.16","64.16"
"9465","84","84","84","55.06","55.06","55.06"
"9467","87","87","87","60.94","60.94","60.94"
"9468","82","82","82","65.845","60.58","71.11"
"9480","80","80","80","55.46","55.46","55.46"
"9483","82","82","82","75.64","75.64","75.64"
"9489","87","87","87","74.43","74.43","74.43"
"9494","81","81","81","71.58","71.58","71.58"
"9495","81","81","81","60.96","60.96","60.96"
"9544","82","82","82","63.99","63.99","63.99"
"9551","81","81","81","56.82","56.82","56.82"
"9552","89","89","89","73.41","73.41","73.41"
"9560","81","81","81","62.24","62.24","62.24"
"9571","83","83","83","64.19","64.19","64.19"
"9582","85","83","87","62.14","59.11","65.17"
"9593","88","88","88","63.51","63.51","63.51"
"9596","85.5","83","88","73.53","64.33","82.73"
"9601","85","85","85","62.39","62.39","62.39"
"9603","82","82","82","79.41","79.41","79.41"
"9607","83","83","83","63.97","63.97","63.97"
"9609","83","83","83","54.18","54.18","54.18"
"9615","81","81","81","56.89","56.89","56.89"
"9638","82","82","82","57.61","57.61","57.61"
"9674","90","90","90","68.51","68.51","68.51"
"9685","83","83","83","57.37","57.37","57.37"
"9686","82","82","82","57.35","57.35","57.35"
"9695","82","82","82","57.6","57.6","57.6"
"9696","89","89","89","96.34","96.34","96.34"
"9699","88","88","88","68.96","68.96","68.96"
"9714","84","84","84","54.14","54.14","54.14"
"9716","83","83","83","74.72","74.72","74.72"
"9717","84","84","84","67.09","67.09","67.09"
"9718","89","89","89","68.42","68.42","68.42"
"9722","84","84","84","55.22","55.22","55.22"
"9728","84","84","84","65.85","65.85","65.85"
"9730","86","86","86","58.05","58.05","58.05"
"9742","84","84","84","60.96","60.96","60.96"
"9762","82","82","82","52.32","52.32","52.32"
"9788","83","83","83","55.72","55.72","55.72"
"9798","90","90","90","94.16","94.16","94.16"
"9799","91","91","91","61.55","61.55","61.55"
"9814","83","83","83","67.88","67.88","67.88"
"9823","84","84","84","60.25","60.25","60.25"
"9827","90","90","90","85.09","85.09","85.09"
"9830","89","89","89","61","61","61"
"9835","84","84","84","68.97","68.97","68.97"
"9836","83","83","83","58.4","58.4","58.4"
"9845","85","85","85","64.09","64.09","64.09"
"9855","85","85","85","57.95","57.95","57.95"
"9859","85","85","85","61.23","61.23","61.23"
"9862","85","85","85","59.42","59.42","59.42"
"9864","85","85","85","67.02","67.02","67.02"
"9880","87","87","87","52.87","52.87","52.87"
"9901","91","91","91","90.59","90.59","90.59"
"9907","83","83","83","52.48","52.48","52.48"
"9924","84","84","84","62.1","62.1","62.1"
"9928","84","84","84","75.46","75.46","75.46"
"9937","92","92","92","59.92","59.92","59.92"
"9939","91","91","91","78.71","78.71","78.71"
"9946","85","85","85","68.4","68.4","68.4"
"9959","90","90","90","63.79","63.79","63.79"
"9962","85","85","85","66.41","66.41","66.41"
"9965","84","84","84","64.3","64.3","64.3"
"9986","86","86","86","63.12","63.12","63.12"
"9990","86","86","86","57.69","57.69","57.69"
"9993","86","86","86","59.75","59.75","59.75"
"9996","86","86","86","63.37","63.37","63.37"
"9999","86","86","86","55.94","55.94","55.94"
"10004","92","92","92","89.62","89.62","89.62"
"10014","88","88","88","61.01","61.01","61.01"
"10040","85","85","85","79.04","79.04","79.04"
"10045","84","84","84","58.07","58.07","58.07"
"10052","93","93","93","75.97","75.97","75.97"
"10056","85","85","85","63.64","63.64","63.64"
"10062","92","92","92","69.02","69.02","69.02"
"10077","86","86","86","60.9","60.9","60.9"
"10083","86","86","86","68.52","68.52","68.52"
"10086","91","91","91","65.19","65.19","65.19"
"10087","85","85","85","73.79","73.79","73.79"
"10106","93","93","93","96.2","96.2","96.2"
"10115","87","87","87","62.56","62.56","62.56"
"10117","87","87","87","62.76","62.76","62.76"
"10129","87","87","87","59.61","59.61","59.61"
"10134","87","87","87","53.99","53.99","53.99"
"10135","87","87","87","57.66","57.66","57.66"
"10145","89","89","89","64.96","64.96","64.96"
"10157","86","86","86","74.53","74.53","74.53"
"10176","94","94","94","65.04","65.04","65.04"
"10185","86","86","86","62.02","62.02","62.02"
"10186","85","85","85","55.34","55.34","55.34"
"10194","93","93","93","61.93","61.93","61.93"
"10204","86.5","86","87","74.22","70.2","78.24"
"10205","87","87","87","70.16","70.16","70.16"
"10208","94","94","94","89.93","89.93","89.93"
"10216","92","92","92","64.6","64.6","64.6"
"10240","88","88","88","69.97","69.97","69.97"
"10249","88","88","88","59.08","59.08","59.08"
"10261","88","88","88","60.79","60.79","60.79"
"10266","88","88","88","61.71","61.71","61.71"
"10271","88","88","88","62.7","62.7","62.7"
"10285","90","90","90","56.38","56.38","56.38"
"10289","87","87","87","59.27","59.27","59.27"
"10303","95","95","95","62.1","62.1","62.1"
"10312","95","95","95","87.67","87.67","87.67"
"10320","94","94","94","65.01","65.01","65.01"
"10321","87","87","87","68.44","68.44","68.44"
"10322","87","87","87","57.92","57.92","57.92"
"10327","87","86","88","61.89","55.82","67.96"
"10333","88","88","88","63.01","63.01","63.01"
"10350","93","93","93","59.84","59.84","59.84"
"10357","89","89","89","71.85","71.85","71.85"
"10388","89","89","89","62.88","62.88","62.88"
"10391","89","89","89","71.1","71.1","71.1"
"10398","89","89","89","51.04","51.04","51.04"
"10402","89","89","89","59.5","59.5","59.5"
"10414","91","91","91","66.06","66.06","66.06"
"10415","96","96","96","88.61","88.61","88.61"
"10423","88","88","88","60.36","60.36","60.36"
"10431","96","96","96","60.72","60.72","60.72"
"10443","95","95","95","64.57","64.57","64.57"
"10449","89","89","89","66.6","66.6","66.6"
"10451","88","88","88","66.6","66.6","66.6"
"10452","88","88","88","64.66","64.66","64.66"
"10469","88.5","87","90","65.83500000000001","59.81","71.86"
"10478","89","89","89","55.33","55.33","55.33"
"10492","94","94","94","57.71","57.71","57.71"
"10516","90","90","90","63.59","63.59","63.59"
"10521","90","90","90","62.49","62.49","62.49"
"10526","97","97","97","79.74","79.74","79.74"
"10532","90","90","90","58.28","58.28","58.28"
"10538","89","89","89","73.24","73.24","73.24"
"10539","91","90","92","61.105000000000004","56.73","65.48"
"10560","96","96","96","70.2","70.2","70.2"
"10569","97","97","97","60.18","60.18","60.18"
"10571","89.5","89","90","68.005","67.64","68.37"
"10583","91","91","91","78.13","78.13","78.13"
"10587","89","89","89","61.84","61.84","61.84"
"10589","88","88","88","67.07","67.07","67.07"
"10612","90","90","90","61.51","61.51","61.51"
"10620","95","95","95","65.21","65.21","65.21"
"10637","98","98","98","81.77","81.77","81.77"
"10650","91","91","91","59.55","59.55","59.55"
"10652","91","91","91","64.08","64.08","64.08"
"10655","90","90","90","75.54","75.54","75.54"
"10665","93","93","93","65.08","65.08","65.08"
"10668","91","91","91","60.14","60.14","60.14"
"10673","91","91","91","63.37","63.37","63.37"
"10676","97","97","97","73.59","73.59","73.59"
"10682","91","91","91","74.77","74.77","74.77"
"10703","94","90","98","60.09","57.71","62.47"
