"episodes_total","training.model.use_lstm: true - _step","training.model.use_lstm: true - _step__MIN","training.model.use_lstm: true - _step__MAX","training.model.use_lstm: true - episode_len_mean","training.model.use_lstm: true - episode_len_mean__MIN","training.model.use_lstm: true - episode_len_mean__MAX"
"2402","24","24","24","94.05","94.05","94.05"
"2411","24","24","24","90.355","88.59","92.12"
"2413","24","24","24","90.19","90.19","90.19"
"2416","24","24","24","88.97999999999999","88.55","89.41"
"2417","24","24","24","88.84","88.84","88.84"
"2421","24","24","24","96.77","96.77","96.77"
"2429","24","24","24","85.16","85.16","85.16"
"2442","24","24","24","87.24","87.24","87.24"
"2448","24","24","24","79.93","79.93","79.93"
"2455","24","24","24","78.86","78.86","78.86"
"2459","24","24","24","89.46","89.46","89.46"
"2482","24","24","24","79.37","79.37","79.37"
"2500","25","25","25","101","101","101"
"2502","25","25","25","93.705","90.53","96.88"
"2511","25","25","25","95.25","94.33","96.17"
"2516","25","25","25","88.87","88.87","88.87"
"2518","25","25","25","86.34","86.34","86.34"
"2519","25","25","25","83.995","83.32","84.67"
"2528","25","25","25","85.93","85.93","85.93"
"2541","25","25","25","77.06","77.06","77.06"
"2550","25","25","25","94.95","94.95","94.95"
"2553","25","25","25","75.7","75.7","75.7"
"2561","25","25","25","84.66","84.66","84.66"
"2567","25","25","25","74.2","74.2","74.2"
"2588","25","25","25","82.72","82.72","82.72"
"2600","26","26","26","100.49","100.49","100.49"
"2605","26","26","26","92.31","92.31","92.31"
"2607","26","26","26","88.36","88.36","88.36"
"2611","26","26","26","100.07","100.07","100.07"
"2614","26","26","26","88.94","88.94","88.94"
"2621","26","26","26","85.36","85.36","85.36"
"2626","26","26","26","83.01","83.01","83.01"
"2629","26","26","26","80.92","80.92","80.92"
"2631","26","26","26","79.89","79.89","79.89"
"2634","26","26","26","85.79","85.79","85.79"
"2650","26","26","26","89.61","78.45","100.77"
"2666","26","26","26","73.95","73.95","73.95"
"2667","26","26","26","86.58","86.58","86.58"
"2671","26","26","26","87.45","87.45","87.45"
"2700","27","27","27","97.17","97.17","97.17"
"2705","26.5","26","27","82.855","70.2","95.51"
"2709","27","27","27","88.78","88.78","88.78"
"2712","27","27","27","86.46","86.46","86.46"
